pressure,dewpoint,humidity,cloud,sunshine,windspeed,rainfall
1013.0,15.0,60.0,50.0,5.0,10.0,1
1012.0,14.5,65.0,55.0,4.5,12.0,0
1013.0,15.0,60.0,50.0,5.0,10.0,1
1012.0,14.5,65.0,55.0,4.5,12.0,0
1014.2,16.3,72.1,63.4,3.8,15.6,1
1009.8,12.7,58.9,45.2,6.2,8.4,0
1015.6,18.4,80.3,78.9,2.1,19.2,1
1010.4,13.9,55.6,30.1,7.8,11.3,0
1012.8,17.2,68.4,59.7,4.3,14.7,0
1008.9,11.5,62.3,66.8,3.2,9.8,1
1016.1,19.8,85.2,82.4,1.5,22.1,1
1011.3,14.8,53.7,25.6,8.4,7.9,0
1014.7,16.9,70.5,61.2,3.9,16.4,1
1010.9,12.4,57.8,40.3,6.7,10.2,0
1013.5,18.1,77.6,75.8,2.4,18.5,1
1009.2,13.6,54.9,35.7,7.2,12.8,0
1015.3,17.5,66.7,57.4,4.6,13.9,0
1011.7,15.2,81.4,80.1,1.8,20.3,1
1014.9,19.3,73.2,64.5,3.5,17.6,1
1010.2,11.8,59.1,42.9,6.5,9.1,0
1013.8,16.6,69.8,60.7,4.1,15.2,0
1012.4,14.1,76.3,72.3,2.7,19.8,1
1009.5,12.9,56.4,38.6,7.5,11.6,0
1015.1,18.7,82.5,79.6,1.9,21.4,1
1011.9,13.3,61.2,46.8,5.8,10.7,0
1014.4,17.8,74.9,67.2,3.3,16.9,1
1010.6,15.5,52.3,29.4,8.1,8.6,0
1013.2,19.1,78.7,76.5,2.3,18.2,1
1009.9,12.2,58.5,41.5,6.9,12.4,0
1015.7,16.4,65.8,56.1,4.8,14.3,0
1012.1,14.7,80.9,81.3,1.7,20.8,1
1014.3,18.2,71.6,62.8,3.7,17.1,1
1010.8,11.4,57.2,39.2,7.3,9.5,0
1013.6,16.8,67.5,58.3,4.4,15.8,0
1011.2,13.8,75.4,70.9,2.9,19.4,1
1009.7,12.6,55.1,36.4,7.7,11.9,0
1015.4,18.9,83.6,80.7,1.6,21.9,1
1012.7,14.4,60.8,44.7,6.1,10.4,0
1014.8,17.4,72.7,65.6,3.4,16.3,1
1011.5,15.1,53.9,31.8,8.2,8.8,0
1013.9,19.6,79.8,77.2,2.2,18.7,1
1010.1,12.8,59.7,40.9,6.8,12.1,0
1015.2,16.1,64.2,55.3,4.9,14.6,0
1012.3,14.9,81.7,82.5,1.5,20.6,1
1014.6,18.5,70.3,63.1,3.6,17.4,1
1011.8,11.9,56.8,38.1,7.4,9.3,0
1013.4,16.7,68.1,59.6,4.2,15.5,0
1012.9,13.5,76.9,73.4,2.6,19.1,1
1009.4,12.1,54.6,35.9,7.9,11.2,0
1015.5,19.2,84.1,81.9,1.4,22.3,1
1012.5,14.2,61.5,45.4,6.0,10.1,0
1014.1,17.9,73.8,66.3,3.2,16.8,1
1011.4,15.3,52.7,30.2,8.3,8.7,0
1013.7,19.4,78.2,76.8,2.1,18.4,1
1010.3,12.5,58.3,41.2,6.6,12.7,0
1015.8,16.2,65.4,54.8,4.7,14.1,0
1012.2,14.6,80.6,80.4,1.8,20.9,1
1014.5,18.3,71.9,64.2,3.5,17.2,1
1011.1,11.7,57.6,39.5,7.1,9.4,0
1013.3,16.5,67.8,58.9,4.3,15.7,0
1012.8,13.4,75.7,71.6,2.8,19.3,1
1009.6,12.3,55.4,36.7,7.6,11.5,0
1015.3,19.5,83.9,81.2,1.5,22.2,1
1012.6,14.3,60.4,44.1,6.3,10.3,0
1014.2,17.7,72.4,65.9,3.3,16.5,1
1011.6,15.4,53.2,31.5,8.0,8.9,0
1013.8,19.7,79.5,77.5,2.0,18.6,1
1010.5,12.4,58.8,40.6,6.7,12.2,0
1015.9,16.0,64.9,55.6,4.8,14.4,0
1012.4,14.8,81.1,81.8,1.6,20.7,1
1014.7,18.6,70.8,63.7,3.4,17.5,1
1011.9,11.6,56.2,38.8,7.2,9.2,0
1013.5,16.4,68.6,59.2,4.1,15.4,0
1012.1,13.7,76.6,72.9,2.5,19.7,1
1009.8,12.0,54.8,35.2,7.8,11.8,0
1015.6,19.0,84.7,80.5,1.3,22.5,1
1012.7,14.1,61.9,45.9,5.9,10.6,0
1014.3,17.6,73.5,66.6,3.1,16.7,1
1011.7,15.0,52.9,30.8,8.1,8.5,0
1013.9,19.9,78.9,76.1,2.2,18.3,1
1010.6,12.6,59.2,41.8,6.5,12.9,0
1015.1,15.9,65.1,54.2,4.9,14.0,0
1012.3,14.5,80.2,80.9,1.7,20.4,1
1014.8,18.8,71.2,64.9,3.3,17.3,1
1012.0,11.5,57.9,39.1,7.0,9.7,0
1013.6,16.3,67.2,58.5,4.2,15.9,0
1012.2,13.6,75.1,71.2,2.7,19.5,1
1009.9,12.2,55.7,36.1,7.5,11.4,0
1015.7,19.3,83.2,81.5,1.4,22.4,1
1012.8,14.0,60.7,44.4,6.2,10.5,0
1014.4,17.5,72.9,65.3,3.2,16.6,1
1011.8,15.2,53.5,31.1,8.2,8.8,0
1014.0,19.8,79.1,77.8,2.1,18.5,1
1010.7,12.3,58.6,40.3,6.8,12.3,0
1015.2,16.1,64.6,55.9,4.7,14.2,0
1012.5,14.7,81.5,82.1,1.5,20.8,1
1014.9,18.7,70.6,63.4,3.5,17.6,1
1012.1,11.4,56.5,38.4,7.3,9.6,0
1013.7,16.2,68.9,59.8,4.0,15.3,0
1012.3,13.5,76.2,72.6,2.6,19.2,1
1010.0,12.1,54.3,35.5,7.7,11.7,0
1015.8,19.1,84.4,80.8,1.3,22.6,1
1012.9,13.9,61.3,45.6,6.1,10.2,0
1014.5,17.4,73.1,66.1,3.1,16.4,1
1011.9,15.1,52.6,30.5,8.3,8.4,0
1014.1,19.6,78.5,76.4,2.0,18.8,1
1010.8,12.5,59.0,41.5,6.6,12.5,0
1015.3,16.0,65.7,54.5,4.8,14.5,0
1012.6,14.6,80.8,81.6,1.6,20.5,1
1014.2,18.5,71.5,64.7,3.4,17.7,1
1012.2,11.3,57.3,39.7,7.1,9.8,0
1013.8,16.1,67.6,58.2,4.3,15.6,0
1012.4,13.4,75.8,71.9,2.5,19.6,1
1010.1,12.0,55.2,36.8,7.6,11.3,0
1015.9,19.0,83.5,81.1,1.4,22.7,1
1013.0,13.8,60.1,44.9,6.0,10.7,0
1014.6,17.3,72.2,65.0,3.2,16.1,1
1012.0,15.0,53.8,31.4,8.0,8.3,0
1014.2,19.5,79.7,77.1,2.1,18.9,1
1010.9,12.4,58.4,40.0,6.9,12.6,0
1015.4,15.9,64.3,55.2,4.7,14.8,0
1012.7,14.5,81.2,82.4,1.5,20.2,1
1014.3,18.4,70.9,63.2,3.5,17.9,1
